X,Y,FID,OBJECTID,SITE,PHONE,FAX,STREET,NEIGH,ZIP
-71.01082698373952,42.388881714061853,1,0,Pino,635-5120,635-1874,86 Boardman St.,East Boston,2128
-71.036891916341503,42.372427151192248,2,0,Paris Street Pool*,635-1410,635-5079,113 Paris St.,East Boston,2128
-71.037522024840186,42.372881631282851,3,0,Paris Street,635-5125,635-5079,112 Paris St.,East Boston,2128
-71.06991681421033,42.379769016804552,4,0,Golden Age Center,635-5175,635-5647,382 Main St.,Charlestown,2129
-71.060950719231073,42.380995303202958,5,0,Charlestown*,635-5169,635-5084,255 Medford St.,Charlestown,2129
-71.054496881016476,42.365299679664169,6,0,Nazzaro,635-5166,635-5053,30 N. Bennet St.,Boston,2113
-71.064961769561393,42.347949276305577,7,0,Quincy*,635-5129,635-5132,885 Washington St,Boston,2111
-71.05252664097668,42.338151479744994,8,0,Condon*,635-5100,635-5103,"200 ""D"" St.",South Boston,2127
-71.038913677534239,42.334633438850666,9,0,Tynan,635-5110,635-5065,650 E. Fourth St.,South Boston,2127
-71.035462946818441,42.329207248541493,10,0,Curley,635-5104,635-1259,1663 Columbia Rd.,South Boston,2127
-71.076714773593054,42.326781808317357,11,0,Vine Street,635-1285,635-1291,339 Dudley Street,Roxbury,2119
-71.07300413657174,42.340381073860222,12,0,Blackstone*,635-5162,635-5057,50 W. Brookline S,Boston,2118
-71.089227868605548,42.331686026401492,13,0,Rec. Division @ Madison Park*,635-5206,635-5078,55 Malcom X Blvd,Roxbury,2119
-71.098161689608872,42.332401925596713,14,0,Tobin,635-5216,635-5288,1481 Tremont St.,Roxbury,2119
-71.106888620321399,42.326082958998697,15,0,Hennigan*,635-5198,635-5020,200 Heath St.,Jamaica Plai,2130
-71.090203292873184,42.322410630471445,16,0,Shelburne,635-5213,635-5224,2730 Washington S,Roxbury,2119
-71.073619122679617,42.30614024647565,17,0,Holland*,635-5144,635-5152,85 Olney St.,Dorchester,2121
-71.080450551700295,42.292451249708186,18,0,Perkins*,635-5146,635-5274,155 Talbot Ave.,Dorchester,2124
-71.061696155001457,42.300880300825874,19,0,Cleveland,635-5141,635-5028,11 Charles St.,Dorchester,2122
-71.049285508461978,42.294350376668085,20,0,Leahy-Holloran*,635-5150,635-5298,1 Worrell St.,Dorchester,2122
-71.082417536037156,42.275222176451436,21,0,Gallivan,635-5252,635-5042,61 Woodruff Way,Mattapan,2126
-71.091203172642736,42.27599272460774,22,0,Mildred Avenue*,635-1328,635-1332,5 Mildred Ave.,Mattapan,2126
-71.120992231494071,42.256425230679618,23,0,Hyde Park,635-5178,635-5290,1179 River St.,Hyde Park,2136
-71.114899935400089,42.308851139897655,24,0,Curtis Hall*,635-5193,635-5273,20 South St.,Jamaica Plai,2130
-71.127638424915105,42.286576473509157,25,0,Roslindale,635-5185,635-5271,6 Cummins Hwy.,Roslindale,2131
-71.122208770037673,42.288320432289169,26,0,Flaherty Pool*,635-5181,635-1225,160 Florence St.,Roslindale,2131
-71.120149128998051,42.292388246574859,27,0,Menino,635-5256,635-5258,125 Brookway Rd.,Roslindale,2131
-71.149306155817214,42.286935990230688,28,0,Roche,635-5066,635-5067,1716 Centre St.,West Roxbury,2132
-71.159783227425578,42.260165911625926,29,0,Draper Pool*,635-5021,635-5628,5279 Washington S,West Roxbury,2132
-71.149466265765668,42.260834332724521,30,0,Ohrenberger,635-5183,635-5283,175 W. Boundary R,West Roxbury,2132
-71.137500770858836,42.352909206197396,31,0,Jackson/Mann,635-5153,635-5275,500 Cambridge St.,Allston,2134
-71.054309668246262,42.368752820859967,32,0,Mirabella Pool*,635-1275,---,475 Commercial St,Boston,2113
-71.067501164123925,42.381877421663305,33,0,Clougherty Pool*,635-5174,---,Bunker Hill St.,Charlestown,2129
-71.0823239109573,42.308854715847907,34,0,Grove Hall,635-1484,635-1485,51 Geneva Ave.,Roxbury,2121
-71.070818557701571,42.325806576469567,35,0,Mason Pool*,635-5241,635-5627,159 Norfolk Ave.,Roxbury,2118
-71.103569936157413,42.275811848666372,36,,Mattahunt,635-5159,,100 Hebron St,Mattapan,2126
